iata_code,airport_size,airport_name,latitude_deg,longitude_deg,city,state_abbrev
SYR,3,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,Syracuse,NY
GRR,2,Gerald R. Ford International Airport,42.88079834,-85.52279663,Grand Rapids,MI
ROC,2,Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401,Rochester,NY
ICT,2,Wichita Eisenhower National Airport,37.649899,-97.433098,Wichita,KS
DAY,2,James M Cox Dayton International Airport,39.902401,-84.219398,Dayton,OH
GEG,2,Spokane International Airport,47.6199,-117.533997,Spokane,WA
PWM,3,Portland International Jetport,43.646198,-70.309303,Portland,ME
DSM,2,Des Moines International Airport,41.534,-93.663101,Des Moines,IA
LIT,2,Bill & Hillary Clinton National Airport/Adams Field,34.729582,-92.223728,Little Rock,AR
TUL,3,Tulsa International Airport,36.19839859008789,-95.88809967041016,Tulsa,OK
COS,2,City of Colorado Springs Municipal Airport,38.805801,-104.700996,Colorado Springs,CO
MSN,2,Dane County Regional Truax Field,43.1399,-89.337502,Madison,WI
TYS,2,McGhee Tyson Airport,35.811001,-83.994003,Knoxville,TN
MHT,2,Manchester-Boston Regional Airport,42.932598,-71.435699,Manchester,NH
BTV,2,Burlington International Airport,44.471901,-73.153297,Burlington,VT
PSP,2,Palm Springs International Airport,33.8297,-116.507004,Palm Springs,CA
SBA,2,Santa Barbara Municipal Airport,34.42620087,-119.8399963,Santa Barbara,CA
EYW,2,Key West International Airport,24.556101,-81.759598,Key West,FL
GSP,2,Greenville Spartanburg International Airport,34.895699,-82.218903,Greer,SC
LEX,2,Blue Grass Airport,38.036499,-84.605904,Lexington,KY
PNS,2,Pensacola International Airport,30.4734,-87.1866,Pensacola,FL
RAP,2,Rapid City Regional Airport,44.0452995300293,-103.05699920654297,Rapid City,SD
TLH,2,Tallahassee Regional Airport,30.3965,-84.350304,Tallahassee,FL
LIH,2,Lihue Airport,21.976,-159.339005,Lihue,HI
GSO,2,Piedmont Triad International Airport,36.097801,-79.937302,Greensboro/High Point,NC
MRY,2,Monterey Peninsula Airport,36.58700180053711,-121.84300231933594,Monterey,CA
SRQ,2,Sarasota Bradenton International Airport,27.395399,-82.554398,Sarasota/Bradenton,FL
AVL,2,Asheville Regional Airport,35.436199,-82.541801,Asheville,NC
DAB,2,Daytona Beach International Airport,29.179899,-81.058098,Daytona Beach,FL
PIE,2,St. Petersburg Clearwater International Airport,27.9102,-82.687401,St. Petersburg,FL
SFB,3,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,Sanford,FL
BGR,2,Bangor International Airport,44.8074,-68.828102,Bangor,ME
CAK,2,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,Akron,OH
MDT,2,Harrisburg International Airport,40.193501,-76.763397,Harrisburg,PA
CAE,2,Columbia Metropolitan Airport,33.938801,-81.119499,Columbia,SC
CHO,2,Charlottesville Albemarle Airport,38.13859939575195,-78.4529037475586,Charlottesville,VA
HSV,2,Huntsville International Carl T Jones Field,34.637199,-86.775101,Huntsville,AL
LBB,2,Lubbock Preston Smith International Airport,33.663601,-101.822998,Lubbock,TX
MYR,2,Myrtle Beach International Airport,33.6796989441,-78.9282989502,Myrtle Beach,SC
CHA,2,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,Chattanooga,TN
JAC,2,Jackson Hole Airport,43.6072998046875,-110.73799896240234,Jackson,WY
FAT,2,Fresno Yosemite International Airport,36.776199,-119.718002,Fresno,CA
GRB,2,Austin Straubel International Airport,44.483459,-88.130805,Green Bay,WI
SAF,2,Santa Fe Municipal Airport,35.6171,-106.088997,Santa Fe,NM
ITO,2,Hilo International Airport,19.721399,-155.048004,Hilo,HI
SGF,2,Springfield Branson National Airport,37.245701,-93.388603,Springfield,MO
AMA,2,Rick Husband Amarillo International Airport,35.219398,-101.706001,Amarillo,TX
SBP,2,San Luis County Regional Airport,35.236801147499996,-120.641998291,San Luis Obispo,CA
SBN,2,South Bend Regional Airport,41.708698,-86.317299,South Bend,IN
BIL,2,Billings Logan International Airport,45.807701,-108.542999,Billings,MT
FAI,3,Fairbanks International Airport,64.81510162,-147.8560028,Fairbanks,AK
BLI,2,Bellingham International Airport,48.79280090332031,-122.53800201416016,Bellingham,WA
FWA,2,Fort Wayne International Airport,40.9785,-85.195099,Fort Wayne,IN
SWF,2,New York Stewart International Airport,41.504101,-74.104797,Newburgh/Poughkeepsie,NY
FAR,2,Hector International Airport,46.92070007324219,-96.81580352783203,Fargo,ND
CID,2,The Eastern Iowa Airport,41.884701,-91.7108,Cedar Rapids/Iowa City,IA
GNV,2,Gainesville Regional Airport,29.6900997162,-82.2717971802,Gainesville,FL
ISP,2,Long Island Mac Arthur Airport,40.79520035,-73.10019684,Islip,NY
FSD,2,Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,Sioux Falls,SD
DLH,2,Duluth International Airport,46.842098,-92.193604,Duluth,MN
LNK,2,Lincoln Airport,40.85100173950195,-96.75920104980469,Lincoln,NE
MAF,2,Midland International Air and Space Port,31.942499,-102.202003,Midland/Odessa,TX
ROA,2,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,Roanoke,VA
PAE,2,Seattle Paine Field International Airport,47.9063,-122.281998,Everett,WA
ABE,2,Lehigh Valley International Airport,40.651773,-75.442797,Allentown/Bethlehem/Easton,PA
EUG,2,Mahlon Sweet Field,44.12459945678711,-123.21199798583984,Eugene,OR
ASE,2,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,Aspen,CO
STS,2,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035,Santa Rosa,CA
ILM,2,Wilmington International Airport,34.270599365234375,-77.90260314941406,Wilmington,NC
JAN,2,Jackson-Medgar Wiley Evers International Airport,32.311199,-90.075897,Jackson/Vicksburg,MS
MOB,2,Mobile Regional Airport,30.6912,-88.242798,Mobile,AL
BTR,2,Baton Rouge Metropolitan Airport,30.533199,-91.149597,Baton Rouge,LA
BZN,2,Gallatin Field,45.77750015,-111.1529999,Bozeman,MT
MLB,2,Melbourne Orlando International Airport,28.1028,-80.645302,Melbourne,FL
AVP,2,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,Scranton/Wilkes-Barre,PA
XNA,2,Northwest Arkansas National Airport,36.281898,-94.306801,Fayetteville,AR
CRP,2,Corpus Christi International Airport,27.770399,-97.501198,Corpus Christi,TX
MSO,2,Missoula International Airport,46.91630173,-114.0910034,Missoula,MT
RST,2,Rochester International Airport,43.908298,-92.5,Rochester,MN
LAN,2,Capital City Airport,42.77870178222656,-84.58740234375,Lansing,MI
ACK,2,Nantucket Memorial Airport,41.25310135,-70.06020355,Nantucket,MA
PRC,2,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,Prescott,AZ
GJT,2,Grand Junction Regional Airport,39.126663,-108.529387,Grand Junction,CO
BIS,2,Bismarck Municipal Airport,46.772701263427734,-100.74600219726562,Bismarck/Mandan,ND
CRW,2,Yeager Airport,38.3731,-81.593201,Charleston/Dunbar,WV
MVY,1,Martha's Vineyard Airport,41.3931007385,-70.6143035889,Martha's Vineyard,MA
FLG,2,Flagstaff Pulliam International Airport,35.1385,-111.670998,Flagstaff,AZ
FNT,2,Bishop International Airport,42.96540069580078,-83.74359893798828,Flint,MI
HHH,1,Hilton Head Airport,32.2244,-80.697502,Hilton Head,SC
PSM,2,Portsmouth International at Pease Airport,43.0778999329,-70.8233032227,Portsmouth,NH
PHF,2,Newport News Williamsburg International Airport,37.131901,-76.492996,Newport News/Williamsburg,VA
AZA,2,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,Phoenix,AZ
GTF,2,Great Falls International Airport,47.48199844,-111.3710022,Great Falls,MT
AZO,2,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,Kalamazoo,MI
YUM,2,Yuma International Airport / Marine Corps Air Station Yuma,32.656601,-114.606003,Yuma,AZ
AGS,2,Augusta Regional At Bush Field,33.3699,-81.9645,Augusta,GA
TRI,2,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,Bristol/Johnson City/Kingsport,TN
MFR,2,Rogue Valley International Medford Airport,42.37419891357422,-122.87300109863281,Medford,OR
TOL,2,Eugene F. Kranz Toledo Express Airport,41.5868,-83.8078,Toledo,OH
SGU,2,St George Regional Airport,37.036389,-113.510306,St. George,UT
EGE,2,Eagle County Regional Airport,39.64260101,-106.9179993,Eagle,CO
ITH,2,Ithaca Tompkins Regional Airport,42.49100112915039,-76.4583969116211,Ithaca/Cortland,NY
PUB,2,Pueblo Memorial Airport,38.289101,-104.497002,Pueblo,CO
EVV,2,Evansville Regional Airport,38.0369987488,-87.5324020386,Evansville,IN
GPT,2,Gulfport Biloxi International Airport,30.407301,-89.070099,Gulfport/Biloxi,MS
MGM,2,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,Montgomery,AL
SHV,2,Shreveport Regional Airport,32.446602,-93.8256,Shreveport,LA
TVC,2,Cherry Capital Airport,44.74140167236328,-85.58219909667969,Traverse City,MI
ATW,1,Appleton International Airport,44.258099,-88.519096,Appleton,WI
CPR,2,Casper-Natrona County International Airport,42.908001,-106.463997,Casper,WY
CLL,2,Easterwood Field,30.58860016,-96.36380005,College Station/Bryan,TX
JNU,2,Juneau International Airport,58.35499954223633,-134.5760040283203,Juneau,AK
PIA,2,General Wayne A. Downing Peoria International Airport,40.6642,-89.693298,Peoria,IL
CMI,2,University of Illinois Willard Airport,40.039819,-88.276249,Champaign/Urbana,IL
TTN,2,Trenton Mercer Airport,40.27669906616211,-74.8134994506836,Trenton,NJ
ACY,2,Atlantic City International Airport,39.45759963989258,-74.57720184326172,Atlantic City,NJ
BMI,2,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,Bloomington/Normal,IL
ELM,2,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,Elmira/Corning,NY
FSM,2,Fort Smith Regional Airport,35.336601,-94.367401,Fort Smith,AR
VPS,2,Destin-Fort Walton Beach Airport,30.4832,-86.525398,Valparaiso,FL
BFL,2,Meadows Field,35.433601,-119.056999,Bakersfield,CA
LSE,2,La Crosse Regional Airport,43.879002,-91.256699,La Crosse,WI
HYA,2,Cape Cod Gateway Airport,41.6693,-70.280403,Hyannis,MA
MFE,2,McAllen Miller International Airport,26.176141,-98.237965,Mission/McAllen/Edinburg,TX
SJT,2,San Angelo Regional Mathis Field,31.35770034790039,-100.49600219726562,San Angelo,TX
SMX,2,Santa Maria Public Airport Captain G Allan Hancock Field,34.898899,-120.457001,Santa Maria,CA
ACT,2,Waco Regional Airport,31.611299514770508,-97.23049926757812,Waco,TX
CYS,2,Cheyenne Regional Jerry Olson Field,41.155701,-104.811997,Cheyenne,WY
IDA,2,Idaho Falls Regional Airport,43.514599,-112.070999,Idaho Falls,ID
MLI,2,Quad City International Airport,41.448502,-90.5075,Moline,IL
SCE,2,University Park Airport,40.849374,-77.84852,State College,PA
FCA,2,Glacier Park International Airport,48.31050109863281,-114.25599670410156,Kalispell,MT
ABI,2,Abilene Regional Airport,32.4113006592,-99.68190002440001,Abilene,TX
RFD,2,Chicago Rockford International Airport,42.1954,-89.097198,Rockford,IL
GFK,2,Grand Forks International Airport,47.949299,-97.176102,Grand Forks,ND
RDD,2,Redding Municipal Airport,40.50899887,-122.2929993,Redding,CA
PGD,2,Charlotte County Airport,26.9202,-81.990501,Punta Gorda,FL
CDC,2,Cedar City Regional Airport,37.70100021362305,-113.0989990234375,Cedar City,UT
IAG,2,Niagara Falls International Airport,43.1073,-78.946198,Niagara Falls,NY
ERI,2,Erie International Tom Ridge Field,42.083127,-80.173867,Erie,PA
FAY,2,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,Fayetteville,NC
SLN,2,Salina Municipal Airport,38.79100036621094,-97.6521987915039,Salina,KS
SPI,2,Abraham Lincoln Capital Airport,39.844101,-89.677902,Springfield,IL
SCK,2,Stockton Metropolitan Airport,37.894199371338,-121.2379989624,Stockton,CA
BRO,2,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,Brownsville,TX
COU,2,Columbia Regional Airport,38.8181,-92.219597,Columbia,MO
LYH,2,Lynchburg Regional Airport - Preston Glenn Field,37.326698,-79.200401,Lynchburg,VA
ORH,2,Worcester Regional Airport,42.2673,-71.875702,Worcester,MA
DRO,1,Durango La Plata County Airport,37.151501,-107.753998,Durango,CO
ROW,2,Roswell Air Center Airport,33.301601,-104.530998,Roswell,NM
TYR,2,Tyler Pounds Regional Airport,32.35409927368164,-95.40239715576172,Tyler,TX
HRL,2,Valley International Airport,26.228500366210938,-97.65440368652344,Harlingen/San Benito,TX
MOT,2,Minot International Airport,48.2593994140625,-101.27999877929688,Minot,ND
PSC,2,Tri Cities Airport,46.26470184326172,-119.11900329589844,Pasco/Kennewick/Richland,WA
PVU,2,Provo-Utah Lake International Airport,40.2192,-111.723,Provo,UT
HLN,2,Helena Regional Airport,46.6068,-111.983002,Helena,MT
LRD,2,Laredo International Airport,27.543800354003906,-99.46160125732422,Laredo,TX
RDM,2,Roberts Field,44.2541008,-121.1500015,Bend/Redmond,OR
MBS,2,MBS International Airport,43.532902,-84.079597,Saginaw/Bay City/Midland,MI
GGG,2,East Texas Regional Airport,32.38399887084961,-94.71150207519531,Longview,TX
ECP,2,Northwest Florida Beaches International Airport,30.357106,-85.795414,Panama City,FL
BGM,2,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,Binghamton,NY
LBE,2,Arnold Palmer Regional Airport,40.275902,-79.4048,Latrobe,PA
MLU,2,Monroe Regional Airport,32.510899,-92.037697,Monroe,LA
ACV,2,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,Arcata/Eureka,CA
LFT,2,Lafayette Regional Airport,30.205299,-91.987602,Lafayette,LA
LBF,2,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,North Platte,NE
SBY,2,Salisbury Ocean City Wicomico Regional Airport,38.34049987792969,-75.51029968261719,Salisbury,MD
SUX,2,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,Sioux City,IA
CSG,2,Columbus Metropolitan Airport,32.516300201416016,-84.93890380859375,Columbus,GA
EKO,2,Elko Regional Airport,40.82490158081055,-115.79199981689453,Elko,NV
MHK,2,Manhattan Regional Airport,39.14099884033203,-96.6707992553711,Manhattan/Ft. Riley,KS
MTJ,2,Montrose Regional Airport,38.5098,-107.893997,Montrose/Delta,CO
CNY,1,Canyonlands Regional Airport,38.755001,-109.754997,Moab,UT
LCK,2,Rickenbacker International Airport,39.813801,-82.927803,Columbus,OH
GCK,2,Garden City Regional Airport,37.9275016785,-100.723999023,Garden City,KS
SPS,2,Wichita Falls Municipal Airport / Sheppard Air Force Base,33.9888,-98.491898,Wichita Falls,TX
BRD,2,Brainerd Lakes Regional Airport,46.402861,-94.129727,Brainerd,MN
USA,2,Concord-Padgett Regional Airport,35.387798,-80.709099,Concord,NC
MQT,2,Marquette/Sawyer International Airport,46.3536,-87.395401,Marquette,MI
AEX,2,Alexandria International Airport,31.3274,-92.549797,Alexandria,LA
KTN,2,Ketchikan International Airport,55.35559845,-131.7140045,Ketchikan,AK
MEI,2,Key Field / Meridian Regional Airport,32.3326,-88.7519,Meridian,MS
PIH,2,Pocatello Regional Airport,42.9098014831543,-112.59600067138672,Pocatello,ID
GRI,2,Central Nebraska Regional Airport,40.967498779296875,-98.30960083007812,Grand Island,NE
TWF,2,Joslin Field Magic Valley Regional Airport,42.4818,-114.487999,Twin Falls,ID
PUW,2,Pullman Moscow Regional Airport,46.7439,-117.110001,Pullman,WA
SWO,2,Stillwater Regional Airport,36.161201477051,-97.08570098877,Stillwater,OK
WYS,2,Yellowstone Airport,44.68840027,-111.1179962,West Yellowstone,MT
CWA,2,Central Wisconsin Airport,44.7775993347,-89.6668014526,Mosinee,WI
HTS,2,Tri-State Airport / Milton J. Ferguson Field,38.366699,-82.557999,Ashland,WV
OTH,2,Southwest Oregon Regional Airport,43.41709899902344,-124.24600219726562,North Bend/Coos Bay,OR
HDN,1,Yampa Valley Airport,40.481201,-107.218002,Hayden,CO
BQK,2,Brunswick Golden Isles Airport,31.258800506591797,-81.46649932861328,Brunswick,GA
DHN,2,Dothan Regional Airport,31.321300506591797,-85.44960021972656,Dothan,AL
PLN,2,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952,Pellston,MI
RKS,2,Southwest Wyoming Regional Airport,41.5942,-109.065001,Rock Springs,WY
TXK,2,Texarkana Regional Airport (Webb Field),33.453701,-93.990997,Texarkana,AR
ALO,2,Waterloo Regional Airport,42.557098388671875,-92.40029907226562,Waterloo,IA
ABR,2,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,Aberdeen,SD
BPT,2,Jack Brooks Regional Airport,29.9508,-94.020699,Beaumont/Port Arthur,TX
FLO,2,Florence Regional Airport,34.18539810180664,-79.7238998413086,Florence,SC
JLN,2,Joplin Regional Airport,37.151798,-94.498299,Joplin,MO
OWB,2,Owensboro Daviess County Airport,37.74010086,-87.16680145,Owensboro,KY
STC,2,Saint Cloud Regional Airport,45.5466,-94.059898,St. Cloud,MN
LWS,2,Lewiston Nez Perce County Airport,46.3745002746582,-117.01499938964844,Lewiston,ID
HGR,2,Hagerstown Regional Richard A Henson Field,39.707901,-77.72949982,Hagerstown,MD
LCH,2,Lake Charles Regional Airport,30.126100540161133,-93.22329711914062,Lake Charles,LA
LAR,2,Laramie Regional Airport,41.31209945678711,-105.67500305175781,Laramie,WY
ART,2,Watertown International Airport,43.991901,-76.021698,Watertown,NY
MCW,2,Mason City Municipal Airport,43.157799,-93.331299,Mason City,IA
ABY,2,Southwest Georgia Regional Airport,31.532946,-84.196215,Albany,GA
GCC,2,Northeast Wyoming Regional Airport,44.3489,-105.539001,Gillette,WY
SUN,2,Friedman Memorial Airport,43.50439835,-114.2959976,Sun Valley/Hailey/Ketchum,ID
YKM,2,Yakima Air Terminal McAllister Field,46.56819916,-120.5439987,Yakima,WA
BIH,2,Eastern Sierra Regional Airport,37.3731002808,-118.363998413,Bishop,CA
EWN,2,Coastal Carolina Regional Airport,35.0730018616,-77.04290008539999,New Bern/Morehead/Beaufort,NC
PBG,2,Plattsburgh International Airport,44.650901794433594,-73.46810150146484,Plattsburgh,NY
BFF,2,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,Scottsbluff,NE
SIT,2,Sitka Rocky Gutierrez Airport,57.04710006713867,-135.36199951171875,Sitka,AK
DRT,2,Del Rio International Airport,29.3742008209,-100.927001953,Del Rio,TX
HYS,2,Hays Regional Airport,38.84220123,-99.27320099,Hays,KS
BTM,2,Bert Mooney Airport,45.95479965209961,-112.49700164794922,Butte,MT
VLD,2,Valdosta Regional Airport,30.782499313354492,-83.27670288085938,Valdosta,GA
COD,2,Yellowstone Regional Airport,44.520199,-109.024002,Cody,WY
VEL,2,Vernal Regional Airport,40.440899,-109.510002,Vernal,UT
LAW,2,Lawton Fort Sill Regional Airport,34.5676994324,-98.4166030884,Lawton/Fort Sill,OK
GTR,2,Golden Triangle Regional Airport,33.450298309299995,-88.5914001465,Columbus,MS
LBL,2,Liberal Mid-America Regional Airport,37.0442009,-100.9599991,Liberal,KS
SHR,2,Sheridan County Airport,44.76919937133789,-106.9800033569336,Sheridan,WY
VCT,2,Victoria Regional Airport,28.85260009765625,-96.91850280761719,Victoria,TX
HOB,2,Lea County Regional Airport,32.6875,-103.217003,Hobbs,NM
OAJ,2,Albert J Ellis Airport,34.829201,-77.612099,Jacksonville/Camp Lejeune,NC
EAT,2,Pangborn Memorial Airport,47.398899,-120.207001,Wenatchee,WA
PGV,2,Pitt Greenville Airport,35.6352005,-77.38529968,Greenville,NC
GUC,1,Gunnison Crested Butte Regional Airport,38.536346,-106.928306,Gunnison,CO
DEC,2,Decatur Airport,39.834598541259766,-88.8656997680664,Decatur,IL
CKB,2,North Central West Virginia Airport,39.2966,-80.228104,Clarksburg/Fairmont,WV
