iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
SAV,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,50,Georgia,GA
BHM,medium_airport,Birmingham-Shuttlesworth International Airport,33.562901,-86.753502,650,Alabama,AL
KOA,medium_airport,Ellison Onizuka Kona International Airport at Keahole,19.738783,-156.045603,47,Hawaii,HI
HPN,medium_airport,Westchester County Airport,41.06700134277344,-73.70760345458984,439,New York,NY
ALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285,New York,NY
BOI,medium_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,Idaho,ID
ONT,large_airport,Ontario International Airport,34.055999755859375,-117.60099792480469,944,California,CA
SYR,large_airport,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,421,New York,NY
GRR,medium_airport,Gerald R. Ford International Airport,42.88079834,-85.52279663,794,Michigan,MI
ROC,medium_airport,Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401,559,New York,NY
OSH,medium_airport,Wittman Regional Airport,43.98440170288086,-88.55699920654297,808,Wisconsin,WI
ICT,medium_airport,Wichita Eisenhower National Airport,37.649899,-97.433098,1333,Kansas,KS
DAY,medium_airport,James M Cox Dayton International Airport,39.902401,-84.219398,1009,Ohio,OH
GEG,medium_airport,Spokane International Airport,47.6199,-117.533997,2376,Washington,WA
PWM,large_airport,Portland International Jetport,43.646198,-70.309303,76,Maine,ME
DSM,medium_airport,Des Moines International Airport,41.534,-93.663101,958,Iowa,IA
LIT,medium_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729582,-92.223728,262,Arkansas,AR
TUL,large_airport,Tulsa International Airport,36.19839859008789,-95.88809967041016,677,Oklahoma,OK
COS,medium_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,Colorado,CO
MSN,medium_airport,Dane County Regional Truax Field,43.1399,-89.337502,887,Wisconsin,WI
TYS,medium_airport,McGhee Tyson Airport,35.811001,-83.994003,981,Tennessee,TN
MHT,medium_airport,Manchester-Boston Regional Airport,42.932598,-71.435699,266,New Hampshire,NH
BTV,medium_airport,Burlington International Airport,44.471901,-73.153297,335,Vermont,VT
PSP,medium_airport,Palm Springs International Airport,33.8297,-116.507004,477,California,CA
SBA,medium_airport,Santa Barbara Municipal Airport,34.42620087,-119.8399963,13,California,CA
EYW,medium_airport,Key West International Airport,24.556101,-81.759598,3,Florida,FL
GSP,medium_airport,Greenville Spartanburg International Airport,34.895699,-82.218903,964,South Carolina,SC
LEX,medium_airport,Blue Grass Airport,38.036499,-84.605904,979,Kentucky,KY
PNS,medium_airport,Pensacola International Airport,30.4734,-87.1866,121,Florida,FL
RAP,medium_airport,Rapid City Regional Airport,44.0452995300293,-103.05699920654297,3204,South Dakota,SD
TLH,medium_airport,Tallahassee Regional Airport,30.3965,-84.350304,81,Florida,FL
LIH,medium_airport,Lihue Airport,21.976,-159.339005,153,Hawaii,HI
BFI,medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,21,Washington,WA
GSO,medium_airport,Piedmont Triad International Airport,36.097801,-79.937302,925,North Carolina,NC
TEB,medium_airport,Teterboro Airport,40.85010147089999,-74.060798645,9,New Jersey,NJ
MRY,medium_airport,Monterey Peninsula Airport,36.58700180053711,-121.84300231933594,257,California,CA
SRQ,medium_airport,Sarasota Bradenton International Airport,27.395399,-82.554398,30,Florida,FL
AVL,medium_airport,Asheville Regional Airport,35.436199,-82.541801,2165,North Carolina,NC
DAB,medium_airport,Daytona Beach International Airport,29.179899,-81.058098,34,Florida,FL
PIE,medium_airport,St. Petersburg Clearwater International Airport,27.9102,-82.687401,11,Florida,FL
SFB,large_airport,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,55,Florida,FL
BGR,medium_airport,Bangor International Airport,44.8074,-68.828102,192,Maine,ME
VGT,medium_airport,North Las Vegas Metropolitan International Airport,36.210701,-115.194,2205,Nevada,NV
CAK,medium_airport,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,1228,Ohio,OH
MDT,medium_airport,Harrisburg International Airport,40.193501,-76.763397,310,Pennsylvania,PA
CAE,medium_airport,Columbia Metropolitan Airport,33.938801,-81.119499,236,South Carolina,SC
CHO,medium_airport,Charlottesville Albemarle Airport,38.13859939575195,-78.4529037475586,639,Virginia,VA
HSV,medium_airport,Huntsville International Carl T Jones Field,34.637199,-86.775101,629,Alabama,AL
LBB,medium_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,3282,Texas,TX
MYR,medium_airport,Myrtle Beach International Airport,33.6796989441,-78.9282989502,25,South Carolina,SC
CHA,medium_airport,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,683,Tennessee,TN
FXE,medium_airport,Fort Lauderdale Executive Airport,26.1972999573,-80.1707000732,13,Florida,FL
JAC,medium_airport,Jackson Hole Airport,43.6072998046875,-110.73799896240234,6451,Wyoming,WY
VNY,medium_airport,Van Nuys Airport,34.209800720215,-118.48999786377,802,California,CA
FAT,medium_airport,Fresno Yosemite International Airport,36.776199,-119.718002,336,California,CA
GRB,medium_airport,Austin Straubel International Airport,44.483459,-88.130805,695,Wisconsin,WI
SAF,medium_airport,Santa Fe Municipal Airport,35.6171,-106.088997,6348,New Mexico,NM
ITO,medium_airport,Hilo International Airport,19.721399,-155.048004,38,Hawaii,HI
PDK,medium_airport,DeKalb Peachtree Airport,33.8755989075,-84.3020019531,1003,Georgia,GA
